nom_departement,zone,date_debut,date_fin,controles,verbalisations,lien,jours
Cher,Toutes,2020-03-18,2020-04-07,30000,1500,https://www.leberry.fr/bourges-18000/actualites/reportage-lors-d-un-controle-de-police-destine-a-faire-respecter-les-mesures-de-confinement_13774663/,21
Cher,Toutes,2020-03-18,2020-04-26,64259,3220,https://www.leberry.fr/bourges-18000/actualites/cher-la-delinquance-en-baisse-de-40-a-60-les-violences-intrafamiliales-en-hausse_13783755/,40
Corrèze,Toutes,2020-03-18,2020-03-23,NA,427,https://www.lepopulaire.fr/limoges-87000/actualites/confinement-les-controles-de-police-et-de-gendarmerie-montent-en-puissance-en-limousin_13769388/,6
Corrèze,Toutes,2020-03-18,2020-03-22,NA,427,https://www.lepopulaire.fr/limoges-87000/actualites/confinement-les-controles-de-police-et-de-gendarmerie-montent-en-puissance-en-limousin_13769388/,5
Côtes-d'Armor,Sauf muni,2020-03-18,2020-03-23,16600,455,https://france3-regions.francetvinfo.fr/bretagne/confinement-plus-3-700-contraventions-bretagne-deplacements-non-autorises-1805004.html,6
Côtes-d'Armor,Toutes,2020-03-18,2020-04-03,50000,2000,https://www.ouest-france.fr/sante/virus/coronavirus/confinement/cotes-d-armor-des-controles-pour-dissuader-ceux-qui-comptent-venir-en-vacances-dans-le-departement-6799597,17
Creuse,Toutes,2020-03-18,2020-03-23,5000,70,https://www.lepopulaire.fr/limoges-87000/actualites/confinement-les-controles-de-police-et-de-gendarmerie-montent-en-puissance-en-limousin_13769388/,6
Creuse,Toutes,2020-03-18,2020-05-06,52772,1530,https://www.francebleu.fr/infos/faits-divers-justice/week-end-du-8-mai-controles-d-attestation-et-controle-routiers-renforces-en-creuse-1588869177,50
Creuse,Toutes,2020-03-18,2020-03-22,5000,70,https://www.lepopulaire.fr/limoges-87000/actualites/confinement-les-controles-de-police-et-de-gendarmerie-montent-en-puissance-en-limousin_13769388/,5
Creuse,Toutes,2020-03-18,2020-04-01,15499,530,https://www.francebleu.fr/infos/faits-divers-justice/creuse-15-500-personnes-controlees-depuis-le-debut-du-confinement-1585917783,15
